1205,5R PROPERTIES ENGENHARIA DESENVOLVIMENTO,ENGENHARIA;
1206,VOGBR,ENGENHARIA;
1207,POTENCIAL,ENGENHARIA;
1208,HALLIBURTON,ENGENHARIA;
1209,AERIS ENERGY,ENGENHARIA;
1301,CEMIG TELECOMUNICAÇÕES,TELECOMUNICAÇÕES;
1302,GVT,TELECOMUNICAÇÕES;
1303,SIEMENS,TELECOMUNICAÇÕES;
1304,TELEBRAS,TELECOMUNICAÇÕES;
1305,ELETROBRAS,TELECOMUNICAÇÕES;
1306,SUNCOKE ENERGY BRASIL,TELECOMUNICAÇÕES;
1307,OI,TELECOMUNICAÇÕES;
1308,TELEFONICA (VIVO),TELECOMUNICAÇÕES;
1401,BASF S/A,QUÍMICA;
1501,BUNGE,FERTILIZANTES;
1502,BPI - BUNGE PARTICIPAÇÕES E INVESTIMENTOS,FERTILIZANTES;
1503,VERDE FERTILIZANTES,FERTILIZANTES;
1505,MOSAIC,FERTILIZANTES;
1601,IPIRANGA DISTRIBUIDORA,PETROLEO DISTIBUIDORA;
1602,PETROBRAS DISTRIBUIDORA,PETROLEO DISTIBUIDORA;
1701,DEOP,OBRAS PÚBLICAS;
1702,DER,OBRAS PÚBLICAS;
1703,SEPLAG,OBRAS PÚBLICAS;
1704,MINISTÉRIO DA INTEGRAÇÃO NACIONAL,OBRAS PÚBLICAS;
1705,MINISTÉRIO DA FAZENDA,OBRAS PÚBLICAS;
1706,CEFET-MG,OBRAS PÚBLICAS;
1707,INSTITUTO BENJAMIN CONSTANT,OBRAS PÚBLICAS;
1708,UFCG HOSPITAL UNIVERSITÁRIO ALCIDES CARNEIRO,OBRAS PÚBLICAS;
1709,SEDVAN / IDENE,OBRAS PÚBLICAS;
1710,SESC MG,OBRAS PÚBLICAS;
1711,DEPART. POLÍCIA RODOVIÁRIA FEDERAL,OBRAS PÚBLICAS;
1712,EMTU-EMPRESA METROPOLIT DE TRANSP URBANOS-SP,OBRAS PÚBLICAS;
1713,CODEMIG,OBRAS PÚBLICAS;
1714,PREFEITURA DO MUNICÍPIO DE CONTAGEM,OBRAS PÚBLICAS;
1715,SECRETARIA DE ESTADO DE EDUCAÇÃO MG,OBRAS PÚBLICAS;
1716,RIO 2016,OBRAS PÚBLICAS;
1717,INVEPAR,OBRAS PÚBLICAS;
1718,PREFEITURA MUNICIPAL DE PARAUAPEBAS,OBRAS PÚBLICAS;
1801,VSE,SOLUÇÕES DE ENERGIA;
1802,CEMIG SOLUÇÕES DE ENERGIA,SOLUÇÕES DE ENERGIA;
1803,Aliança,SOLUÇÕES DE ENERGIA;
1804,ENERGISA,SOLUÇÕES DE ENERGIA;
1805,TAESA,SOLUÇÕES DE ENERGIA;
1901,UNIV. FEDERAL DE VIÇOSA,ESCOLA;
1902,UNIV. FEDERAL DE MINAS GERAIS,ESCOLA;
1903,UNIV. FEDERAL DE OURO PRETO,ESCOLA;
1904,UNILA - UNIV. FEDERAL DA INTEGRAÇÃO LATINO -AMERICANA,ESCOLA;
1905,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC - UFABC,ESCOLA;
1906,UNIVERSIDADE FEDERAL DO CEARÁ,ESCOLA;
2001,IGAM,ORGÃO PUBLICO;
2002,COPASA,ORGÃO PUBLICO;
2003,CODEVASF,ORGÃO PUBLICO;
2004,MINISTÉRIO DA JUSTIÇA,ORGÃO PUBLICO;
2005,SECRET EST DE AGRICULT PECUÁRIA E ABASTECIMENTO,ORGÃO PUBLICO;
2006,PMMG,ORGÃO PUBLICO;
2007,BANCO CENTRAL,ORGÃO PUBLICO;
2008,CEASA MINAS,ORGÃO PUBLICO;
2009,DETRAN/RJ,ORGÃO PUBLICO;
2101,DOW CORNING,METALURGIA;
2201,UNIMED,HOSPITALAR;
2202,FHEMIG,HOSPITALAR;
2301,CENIBRA,CELULOSE;
2302,STORA ENSO ARAPOTI,CELULOSE;
2303,KLABIN CELULOSE,CELULOSE;
2304,Souza Cruz,CELULOSE;
2305,SUZANO PAPEL E CELULOSE,CELULOSE;
2401,DANIELI DO BRASIL,MAQUINAS E EQUIPAMENTOS;
2402,PAUL WURTH DO BRASIL,MAQUINAS E EQUIPAMENTOS;
2501,GASMIG,GÁS;
2601,PREMO,PREMOLDADOS;
2701,CRA - MG,CONSELHOS;
2702,CREA - PA,CONSELHOS;
2801,TRADEBE,TRATAMENTO DE RESÍDUOS;
2901,ARGUS ENGENHARIA,PREV COMB INCENDIO;
3001,ARIBA,E-COMMERCE;
3101,AG - ALPHAVILLE,ASSOCIAÇÃO;
3102,Valia,ASSOCIAÇÃO;
3103,SEBRAE-MG,ASSOCIAÇÃO;
3211,PRH BOLÍVIA,RECURSOS HUMANOS;
3301,RUMO ALL,FERROVIA;
3401,Fundação Renova,RECUPERAÇÃO DE ÁREAS DEGRADADAS;
3501,NEXA,MINERAÇÃO;
